,price,city,kms_driven,owner,age,power,brand
0,35000.0,Ahmedabad,17654.0,1.0,3.0,110.0,TVS
1,119900.0,Delhi,11000.0,1.0,4.0,350.0,Royal Enfield
2,600000.0,Delhi,110.0,1.0,8.0,675.0,Triumph
3,65000.0,Bangalore,16329.0,1.0,4.0,180.0,TVS
4,80000.0,Bangalore,10000.0,1.0,3.0,150.0,Yamaha
5,53499.0,Delhi,25000.0,1.0,6.0,150.0,Yamaha
6,85000.0,Delhi,8200.0,1.0,3.0,160.0,Honda
7,45000.0,Delhi,12645.0,1.0,3.0,100.0,Hero
8,145000.0,Bangalore,9190.0,1.0,3.0,350.0,Royal Enfield
9,88000.0,Delhi,19000.0,2.0,7.0,500.0,Royal Enfield
10,72000.0,Bangalore,20000.0,1.0,7.0,150.0,Yamaha
11,95000.0,Bangalore,9665.0,1.0,4.0,250.0,Yamaha
12,78000.0,Bangalore,9900.0,1.0,4.0,200.0,Bajaj
13,29499.0,Delhi,20000.0,1.0,8.0,100.0,Bajaj
14,29900.0,Delhi,20000.0,1.0,7.0,125.0,Bajaj
15,90000.0,Bangalore,11574.0,1.0,3.0,200.0,Bajaj
16,120000.0,Bangalore,23000.0,1.0,3.0,200.0,Bajaj
17,48000.0,Mumbai,24725.0,1.0,5.0,150.0,Suzuki
18,240000.0,Mumbai,15025.0,2.0,3.0,302.0,Benelli
22,46500.0,Delhi,3500.0,1.0,2.0,110.0,Hero
23,121700.0,Kalyan,24520.0,1.0,5.0,500.0,Royal Enfield
24,45000.0,Delhi,23000.0,1.0,6.0,150.0,Yamaha
26,20000.0,Ahmedabad,29305.0,1.0,16.0,125.0,Hero
27,20800.0,Faridabad,30500.0,2.0,7.0,125.0,Honda
28,50000.0,Bangalore,19000.0,1.0,8.0,150.0,Bajaj
29,81200.0,Mettur,9100.0,1.0,2.0,160.0,Honda
30,88000.0,Hyderabad,21914.0,1.0,3.0,200.0,Bajaj
31,80000.0,Kaithal,20000.0,2.0,4.0,150.0,Yamaha
32,40900.0,Gurgaon,15000.0,1.0,6.0,220.0,Bajaj
33,180000.0,Pune,17700.0,1.0,4.0,390.0,KTM
34,40000.0,Noida,30000.0,1.0,8.0,150.0,Honda
35,70000.0,Nashik,100000.0,2.0,8.0,200.0,KTM
36,98800.0,Kochi,39000.0,1.0,5.0,350.0,Royal Enfield
37,65000.0,Allahabad,43000.0,1.0,6.0,150.0,Honda
38,190500.0,Samastipur,4550.0,1.0,2.0,500.0,Royal Enfield
39,179000.0,Bangalore,3400.0,1.0,2.0,200.0,KTM
40,70000.0,Nadiad,45000.0,1.0,8.0,350.0,Royal Enfield
41,45000.0,Hyderabad,36100.0,1.0,6.0,220.0,Bajaj
42,78000.0,Lucknow,8500.0,1.0,13.0,350.0,Royal Enfield
43,110000.0,Bangalore,2550.0,1.0,2.0,220.0,Bajaj
44,85000.0,Delhi,18000.0,1.0,6.0,350.0,Royal Enfield
45,38000.0,Delhi,35000.0,1.0,9.0,200.0,Bajaj
46,55346.0,Noida,38000.0,1.0,10.0,350.0,Royal Enfield
47,28000.0,Jaipur,45000.0,1.0,2.0,110.0,Mahindra
48,37000.0,Mumbai,10800.0,1.0,8.0,150.0,Hero
49,97000.0,Delhi,4400.0,1.0,3.0,150.0,Suzuki
50,40000.0,Karnal,357000.0,1.0,8.0,150.0,Yamaha
51,90000.0,Delhi,15300.0,1.0,7.0,350.0,Royal Enfield
52,60000.0,Mumbai,30000.0,1.0,5.0,160.0,TVS
53,21900.0,Gorakhpur,30000.0,2.0,7.0,125.0,Honda
54,40000.0,Ahmedabad,64000.0,1.0,7.0,220.0,Bajaj
55,475000.0,Mumbai,11500.0,2.0,3.0,600.0,Benelli
56,34500.0,Ahmedabad,17056.0,1.0,5.0,110.0,Honda
57,25000.0,Vidisha,172082.0,1.0,9.0,150.0,Yamaha
58,30200.0,Bangalore,45000.0,1.0,7.0,150.0,Suzuki
59,65000.0,Hosur,35000.0,1.0,5.0,220.0,Bajaj
60,25000.0,Mumbai,38000.0,1.0,9.0,150.0,Bajaj
61,935000.0,Bagalkot,2500.0,1.0,2.0,900.0,Kawasaki
62,107100.0,Delhi,15438.0,2.0,3.0,350.0,Royal Enfield
63,80000.0,Delhi,6000.0,1.0,3.0,220.0,Bajaj
64,88000.0,Delhi,19000.0,1.0,5.0,350.0,Royal Enfield
65,94700.0,Baripara,32700.0,1.0,4.0,200.0,KTM
66,12200.0,Agra,46643.0,1.0,14.0,100.0,Hero
67,106000.0,Delhi,19000.0,1.0,6.0,350.0,Royal Enfield
68,29500.0,Hyderabad,40700.0,1.0,12.0,220.0,Bajaj
69,290000.0,Dharwad,11350.0,1.0,7.0,650.0,Kawasaki
70,110000.0,Delhi,1600.0,1.0,6.0,350.0,Royal Enfield
71,27000.0,Vadodara,44410.0,1.0,10.0,125.0,Bajaj
72,65000.0,Jalandhar,9800.0,1.0,11.0,350.0,Royal Enfield
73,150000.0,Bangalore,15000.0,1.0,3.0,350.0,Royal Enfield
74,55786.0,Surat,68000.0,2.0,7.0,223.0,Hero
75,45000.0,Bangalore,17757.0,1.0,8.0,180.0,Bajaj
76,146000.0,Chennai,3900.0,1.0,2.0,250.0,Yamaha
77,115000.0,Bangalore,23700.0,1.0,4.0,350.0,Royal Enfield
78,30000.0,Noida,8250.0,1.0,3.0,100.0,Bajaj
79,93100.0,Mumbai,10000.0,1.0,5.0,200.0,Bajaj
80,82000.0,Mumbai,4300.0,2.0,3.0,150.0,Yamaha
81,260000.0,Navi Mumbai,3800.0,1.0,2.0,650.0,Royal Enfield
82,38000.0,Bangalore,33000.0,1.0,7.0,125.0,Honda
83,130000.0,Gandhidham,17500.0,2.0,4.0,250.0,KTM
84,118000.0,Gurgaon,19000.0,1.0,4.0,410.0,Royal Enfield
85,14700.0,Delhi,10000.0,1.0,11.0,135.0,Bajaj
86,85000.0,Chennai,54000.0,1.0,6.0,350.0,Royal Enfield
87,40000.0,Mumbai,27000.0,1.0,7.0,220.0,Bajaj
88,50000.0,Bangalore,19000.0,1.0,6.0,150.0,Yamaha
89,71800.0,Mumbai,43500.0,1.0,7.0,350.0,Royal Enfield
91,75000.0,Bangalore,11575.0,1.0,4.0,200.0,Bajaj
92,1350000.0,Mumbai,190.0,1.0,1.0,1100.0,Ducati
93,790000.0,Mumbai,19000.0,1.0,3.0,765.0,Triumph
